1d,7d
37802.4525,36564.255
35541.6218,35581.6495
33616.3527,34234.2333
33154.5097,33340.5251
33362.8516,33274.7106
31188.4828,31050.2736
31297.2566,31306.789
31400.2942,31035.0916
31745.5642,31045.2513
31794.7231,31199.9922
32168.5608,31928.3796
34214.2149,33781.696
37436.2302,36594.6114
41212.9406,40284.9744
40935.1964,40777.8437
40872.452,41320.2744
41223.2472,41467.1785
40200.8534,40343.9595
40017.4876,39956.0326
40493.8912,39769.3876
40259.4552,39503.7486
39109.7478,38073.646
38265.9194,38040.9722
38013.4693,37023.2333
36995.853,36763.5206
35324.686,34958.8289
33647.8719,33516.3787
33477.1711,33400.2242
33153.2334,32837.1255
31412.6657,31186.8169
31619.5098,30904.6556
31483.134,30847.9178
31606.7707,31181.3744
31947.3723,31422.4265
32542.8162,32063.3107
34261.4365,33788.4322
36996.8156,36634.7593
41067.327,40145.3761
41597.9829,41021.9596
41713.4398,41086.1027
41735.0944,41206.6675
40899.7827,40280.4216
40040.7525,40736.3501
40545.4576,39661.7529
40137.8269,39741.1078
39773.4555,39017.4235
38670.8036,38044.1313
39030.5563,37476.6586
37167.8431,36320.3166
35907.7256,34551.3991
34150.001,33461.9116
33726.127,33141.5288
33682.77,33011.6879
31044.6128,31634.3725
31083.502,31553.6329
31205.5893,31638.162
31547.4113,31629.3399
31553.2718,32047.796
32309.4856,32426.197
34639.3793,34374.9645
37919.0267,36693.5808
41821.6518,40596.2493
41468.0071,41101.7142
41707.4046,40724.0735
42187.4033,39874.4101
40605.806,39370.8888
40601.617,40259.2547
41093.0827,40149.8651
41205.375,40046.4705
40568.1874,40033.3261
39429.5472,39533.5406
39785.9277,38244.406
38650.0232,37041.1707
37030.1941,35238.6988
35068.712,34170.8037
34842.2573,33334.3788
33775.6677,33514.8311
31306.418,31260.5627
31349.6398,30945.7814
31007.7159,30920.3724
31447.1975,31093.4961
31607.5266,31231.0049
32077.9265,31870.6505
34227.86,33594.6669
36927.2035,35913.0384
40321.5388,36579.6401
41556.8194,36702.0357
41834.0618,37561.0818
41300.1416,37420.2217
41588.022,36498.6439
41462.0815,36221.2751
41826.7667,36213.946
41136.3977,35576.5461
40866.9318,35155.8816
40063.2416,33593.3961
39809.4447,32813.539
39600.0126,34308.2886
37219.1627,32999.7717
35152.1238,31345.0616
34419.4153,31195.9121
34490.8406,31210.7395
31461.4977,30957.8299
31423.3315,30294.9249
31523.1765,30713.5249
31792.1736,30702.1609
31854.1341,30973.2236
32616.8452,31566.4925
34847.4232,32712.9417
37496.294,34409.2692
38636.2358,34860.4277
38570.6429,35250.7797
38896.8271,35971.0775
40326.4879,36599.5593
39840.2052,36699.8452
39206.726,37003.3387
38933.4297,36940.5702
37695.2438,35842.3793
36875.5215,36112.8382
35105.0763,35943.1567
36183.0064,35710.6925
36851.6123,35988.7761
36108.8555,35402.346
34139.3397,33956.2509
33368.1122,33625.415
32981.7978,33816.1691
30892.1082,31526.6562
30653.8784,31514.1728
30715.0336,31634.5204
30896.8328,31779.5539
30881.791,31946.673
31313.1322,32643.4671
33301.36,35019.8341
35138.6461,38326.6022
36165.6696,42124.2564
37141.1163,42127.6009
38244.6633,42115.4128
37721.6917,42009.5983
38673.7499,41789.5273
39090.0358,41992.9761
38899.6425,41881.6271
37542.788,40876.5296
37457.0595,39874.171
36788.3065,39452.2816
37997.8,38195.8767
38692.3235,37802.4525
37507.8509,35541.6218
35474.7544,33616.3527
34664.9702,33154.5097
34465.0927,33362.8516
31117.7409,31188.4828
31193.9909,31297.2566
31063.3042,31400.2942
31156.2441,31745.5642
31431.4447,31794.7231
32171.753,32168.5608
34407.0014,34214.2149
37958.9032,37436.2302
41787.213,41212.9406
42802.6534,40935.1964
42686.0845,40872.452
43782.6261,41223.2472
43582.1759,40200.8534
43201.1877,40017.4876
42733.4711,40493.8912
42827.3171,40259.4552
41342.0225,39109.7478
39974.2006,38265.9194
39382.8026,38013.4693
38473.0261,36995.853
36491.5426,35324.686
34269.0585,33647.8719
34381.9527,33477.1711
34279.2471,33153.2334
31247.9894,31412.6657
31334.0733,31619.5098
31173.7487,31483.134
31543.1522,31606.7707
31751.895,31947.3723
32538.0381,32542.8162
34830.4391,34261.4365
37786.8492,36996.8156
42340.4317,41067.327
42440.5948,41597.9829
42479.2326,41713.4398
43488.3846,41735.0944
42954.2196,40899.7827
42822.0652,40040.7525
42690.4303,40545.4576
41745.9095,40137.8269
40410.1825,39773.4555
39978.5329,38670.8036
38789.6731,39030.5563
39396.3061,37167.8431
37088.8134,35907.7256
35006.3101,34150.001
33920.4484,33726.127
33636.8296,33682.77
31175.0192,31044.6128
31076.8432,31083.502
31304.4711,31205.5893
31136.8926,31547.4113
31642.6972,31553.2718
32373.3065,32309.4856
34630.8746,34639.3793
37670.9723,37919.0267
42659.7023,41821.6518
43279.704,41468.0071
44179.6405,41707.4046
44540.8442,42187.4033
43523.987,40605.806
42545.6469,40601.617
43023.9352,41093.0827
42593.6509,41205.375
41516.2486,40568.1874
40474.5867,39429.5472
41179.8506,39785.9277
39775.9739,38650.0232
37796.6896,37030.1941
35805.3046,35068.712
35222.3175,34842.2573
34361.964,33775.6677
31714.8766,31306.418
31804.8075,31349.6398
31961.2387,31007.7159
32082.1079,31447.1975
32240.5443,31607.5266
32658.0337,32077.9265
35077.3647,34227.86
38428.4396,36927.2035
42813.832,40321.5388
43477.7274,41556.8194
44209.0837,41834.0618
44545.9231,41300.1416
43282.7737,41588.022
43290.7767,41462.0815
42912.6759,41826.7667
43360.9332,41136.3977
42744.3932,40866.9318
42154.9842,40063.2416
41130.4736,39809.4447
40790.1234,39600.0126
37718.2714,37219.1627
36011.2913,35152.1238
34863.094,34419.4153
34975.1571,34490.8406
31610.3984,31461.4977
31614.5935,31423.3315
31450.6313,31523.1765
31602.3021,31792.1736
31863.2212,31854.1341
32357.6053,32616.8452
34557.2146,34847.4232
37255.3565,37496.294
40826.4911,38636.2358
41380.8414,38570.6429
42063.4338,38896.8271
42827.6776,40326.4879
40855.9121,39840.2052
40496.803,39206.726
40520.3976,38933.4297
40444.3899,37695.2438
40063.0292,36875.5215
38851.7826,35105.0763
39474.3721,36183.0064
38749.5817,36851.6123
36385.0901,36108.8555
34396.2304,34139.3397
33887.8999,33368.1122
34300.2475,32981.7978
31735.7029,30892.1082
31552.5377,30653.8784
31579.3998,30715.0336
31617.9883,30896.8328
32034.1642,30881.791
32730.6407,31313.1322
35331.0191,33301.36
38314.7308,35138.6461
39269.5867,36165.6696
39021.2365,37141.1163
39733.7168,38244.6633
41025.5705,37721.6917
40170.4572,38673.7499
40039.6521,39090.0358
40392.5171,38899.6425
39384.1702,37542.788
38614.9014,37457.0595
37779.7683,36788.3065
37733.6001,37997.8
38321.3405,38692.3235
37065.5327,37507.8509
35115.6038,35474.7544
33688.1948,34664.9702
33347.0692,34465.0927
31761.7801,31117.7409
31037.5563,31193.9909
31190.0967,31063.3042
31326.0854,31156.2441
31576.6465,31431.4447
32101.0022,32171.753
34257.7091,34407.0014
36114.8084,37958.9032
36926.0979,41787.213
36809.8682,42802.6534
37977.2784,42686.0845
39046.6063,43782.6261
39332.7636,43582.1759
39547.0011,43201.1877
39938.7717,42733.4711
39581.809,42827.3171
39258.9355,41342.0225
38566.5418,39974.2006
39253.1116,39382.8026
40644.043,38473.0261
39371.2538,36491.5426
35974.932,34269.0585
35498.3747,34381.9527
34772.2459,34279.2471
32073.9471,31247.9894
32359.4438,31334.0733
32209.5129,31173.7487
32116.6161,31543.1522
32501.2494,31751.895
33215.2746,32538.0381
36047.1174,34830.4391
39684.998,37786.8492
44799.3369,42340.4317
45426.6614,42440.5948
45729.6929,42479.2326
45790.7915,43488.3846
45026.0905,42954.2196
44234.3652,42822.0652
44925.5219,42690.4303
44150.776,41745.9095
42084.0898,40410.1825
41586.0702,39978.5329
41286.6172,38789.6731
40978.1964,39396.3061
38024.5372,37088.8134
36389.0789,35006.3101
34916.1797,33920.4484
34497.2287,33636.8296
31705.1552,31175.0192
31487.3111,31076.8432
31464.2668,31304.4711
31701.2438,31136.8926
31936.6917,31642.6972
32436.7642,32373.3065
34799.5065,34630.8746
37887.3638,37670.9723
42387.2265,42659.7023
43754.6056,43279.704
43862.6599,44179.6405
44574.4882,44540.8442
43851.7951,43523.987
42231.5325,42545.6469
43560.5416,43023.9352
43503.0516,42593.6509
41769.2335,41516.2486
41541.267,40474.5867
41033.1866,41179.8506
39341.538,39775.9739
37819.6798,37796.6896
35007.5171,35805.3046
34244.3651,35222.3175
33762.0479,34361.964
30839.6525,31714.8766
30981.2035,31804.8075
31338.1115,31961.2387
31351.288,32082.1079
31856.3111,32240.5443
32475.76,32658.0337
34511.8584,35077.3647
37620.0739,38428.4396
42847.5938,42813.832
43572.9965,43477.7274
44300.2247,44209.0837
44462.615,44545.9231
43098.7488,43282.7737
43389.9333,43290.7767
44155.2451,42912.6759
43602.135,43360.9332
43453.4987,42744.3932
41946.4468,42154.9842
41274.2675,41130.4736
40546.4579,40790.1234
38977.2057,37718.2714
35652.9946,36011.2913
34897.3711,34863.094
34023.8989,34975.1571
30533.6351,31610.3984
30740.2881,31614.5935
31028.5844,31450.6313
31134.7942,31602.3021
31181.182,31863.2212
32143.0361,32357.6053
34592.2844,34557.2146
37734.599,37255.3565
42179.5177,40826.4911
43088.5184,41380.8414
43511.2188,42063.4338
43838.3869,42827.6776
43382.1867,40855.9121
43756.0058,40496.803
42861.06,40520.3976
42999.1215,40444.3899
41608.3782,40063.0292
40574.8405,38851.7826
40194.1416,39474.3721
39891.7761,38749.5817
37680.387,36385.0901
34786.9713,34396.2304
34361.8256,33887.8999
33713.123,34300.2475
31431.3432,31735.7029
31525.9912,31552.5377
31494.1898,31579.3998
31576.0885,31617.9883
31740.078,32034.1642
32665.0073,32730.6407
35156.2404,35331.0191
37885.469,38314.7308
41867.264,39269.5867
43288.5418,39021.2365
43811.834,39733.7168
43773.6296,41025.5705
42512.1831,40170.4572
42795.4845,40039.6521
42533.6143,40392.5171
42950.5626,39384.1702
42116.7602,38614.9014
41323.1562,37779.7683
40924.7646,37733.6001
40595.9655,38321.3405
38133.4172,37065.5327
35944.8548,35115.6038
34569.1494,33688.1948
35033.5193,33347.0692
31280.47,31761.7801
31219.1175,31037.5563
30971.8817,31190.0967
31087.6256,31326.0854
31246.5255,31576.6465
32058.7033,32101.0022
34646.6008,34257.7091
