,기준일ID,시간대구분,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
256,20190101,0,31753.4933,1673.9364,487.4045,722.0178,1179.8667,1216.5998,1331.8754,1628.1075,1368.7412,1329.4758,1058.1314,1111.5092,839.2007,629.9362,1342.9046,1893.7059,508.5196,560.4135,1117.3975,1177.5077,1256.4563,1456.8111,1219.7691,1013.8091,974.2958,1104.9266,966.1975,783.1721,1800.8047
680,20190101,1,31892.9821,1663.9182,484.4868,682.0822,1194.0991,1235.0627,1367.2124,1630.908,1396.076,1276.5416,1070.5212,1117.6102,856.7091,627.0486,1324.3649,1880.7607,505.043,557.1419,1138.5917,1222.0472,1312.245,1476.8785,1214.7655,1037.1823,984.324,1112.7096,948.1878,757.7393,1818.7234
1104,20190101,2,32186.8835,1667.3184,485.4776,712.9378,1185.9379,1238.973,1372.588,1643.6761,1453.0868,1333.6231,1068.2163,1120.3058,885.37,642.9259,1326.5715,1847.9993,496.2459,584.5014,1149.7761,1238.5789,1336.9957,1487.854,1225.9628,1027.5034,1008.258,1082.156,946.2543,744.1415,1873.6472
1528,20190101,3,32328.6023,1699.9792,494.9874,703.9591,1161.0726,1252.6727,1348.0688,1686.3714,1448.1356,1326.4916,1083.8391,1134.1511,868.8674,647.3556,1314.0593,1885.8578,506.4122,595.6206,1175.9943,1255.3002,1362.431,1470.8565,1212.5735,1041.9443,998.3174,1106.66,943.6374,743.2057,1859.7805
1952,20190101,4,33023.2817,1683.7004,490.2476,705.1334,1162.521,1312.318,1392.5717,1726.8911,1469.8501,1345.3848,1141.2304,1164.1094,935.7562,650.7192,1326.1714,1876.9171,504.0113,584.2915,1214.9539,1348.9328,1381.3477,1497.1335,1263.0411,1047.1408,1039.6401,1130.7469,981.1405,759.3833,1887.9982
2376,20190101,5,34926.4197,1810.6154,527.2015,801.6234,1233.8981,1411.6871,1469.7511,1823.2041,1550.5521,1451.0414,1221.4194,1297.989,925.957,648.9388,1324.4011,2007.8952,539.1828,619.4455,1331.5527,1473.6346,1420.0448,1583.9044,1362.0783,1141.6795,1093.0989,1214.6112,998.3658,753.6763,1888.969
2800,20190101,6,36479.4706,2023.6087,589.2196,819.5664,1283.976,1417.6344,1492.1224,1834.5772,1565.6751,1430.7655,1312.6622,1333.6301,956.3179,620.5976,1385.1692,2223.932,597.1958,645.7563,1392.4935,1574.3722,1501.4281,1733.7447,1450.8224,1270.9578,1133.8454,1164.0857,1056.3009,748.9226,1920.0906
3224,20190101,7,36162.3257,1924.1811,560.2686,794.3495,1236.3386,1417.9889,1500.019,1852.2212,1559.9642,1425.7267,1252.6743,1368.0091,1005.1197,629.6316,1342.7957,2214.4744,594.6561,641.4786,1396.4916,1568.8999,1495.2325,1691.5051,1361.6532,1254.9378,1156.1461,1200.5133,1087.2357,772.1809,1857.632
3648,20190101,8,36260.4451,1967.4905,572.879,782.4876,1280.9631,1385.0779,1543.0746,1841.0382,1559.4398,1498.9653,1263.7861,1344.4363,1035.0515,672.837,1437.9218,2189.7341,588.0122,577.1697,1387.4692,1533.3006,1516.2888,1661.005,1315.6614,1186.5353,1175.7451,1194.7646,1027.642,787.879,1933.7889
4072,20190101,9,36462.3604,2085.0928,607.1218,770.1755,1335.4903,1393.7658,1509.0452,1763.4663,1619.4099,1485.7905,1228.8701,1277.4043,1012.3545,689.2103,1495.9181,2072.1429,556.4357,645.2643,1363.3933,1532.2344,1537.9227,1718.2637,1377.3028,1213.5997,1133.2581,1154.8084,1105.2795,763.9006,2015.4369
4496,20190101,10,37675.3355,2131.5769,620.6567,815.8726,1300.7633,1458.4245,1652.7576,1910.7471,1640.4444,1500.4753,1299.8541,1312.379,1011.0112,687.8724,1419.0388,2235.1489,600.2077,646.6021,1413.8526,1647.4874,1555.0034,1877.4007,1413.0103,1332.0991,1166.1429,1197.4512,1121.506,785.997,1921.5534
4920,20190101,11,37846.1731,1985.8839,578.2349,805.5427,1315.3947,1427.04,1719.5257,1809.1832,1640.8699,1528.9425,1273.138,1325.7472,1122.1822,699.9326,1485.1253,2260.6027,607.0431,687.6815,1397.3757,1676.902,1530.5176,1827.541,1463.5184,1300.6488,1163.3498,1257.9126,1093.2159,850.051,2013.0716
5344,20190101,12,37334.8483,2266.6035,659.9727,767.203,1304.5624,1348.2199,1651.3903,1811.36,1651.1641,1510.0596,1376.3857,1338.4924,1111.586,675.6633,1400.523,1958.069,525.8028,741.3678,1405.7094,1638.1242,1532.9429,1680.3376,1369.82,1265.4774,1145.7357,1248.2063,1043.9166,862.235,2043.9167
5768,20190101,13,38695.3509,2082.3794,606.3318,809.7437,1299.4767,1444.0178,1684.6854,1886.9408,1732.7834,1546.0927,1383.3765,1419.491,1167.7275,733.3555,1398.8431,2412.4246,647.8119,720.6867,1364.4757,1836.1282,1653.2524,1799.3474,1428.6256,1253.4643,1214.4202,1218.0518,1057.0997,873.0113,2021.3046
6192,20190101,14,38994.0456,2185.1423,636.2534,785.5124,1278.1684,1498.2193,1741.3689,1928.5802,1653.2953,1657.7988,1442.9257,1497.5088,1102.9221,666.2536,1481.7499,2248.4669,603.7838,616.7652,1475.3728,1817.8923,1658.3653,1878.3909,1504.249,1259.3669,1203.2215,1211.2768,1027.5502,845.4511,2088.1955
6616,20190101,15,37677.0287,1988.6312,579.0348,734.982,1203.1201,1376.7531,1692.2143,1845.0488,1591.5433,1592.029,1457.0842,1469.0134,1098.1537,707.3361,1376.7304,2363.2131,634.5967,634.3095,1405.5853,1689.3867,1601.9067,1796.0231,1494.6448,1208.6543,1169.8217,1127.3264,1027.9165,827.4602,1984.5088
7040,20190101,16,36636.5253,1941.5058,565.313,773.252,1100.9663,1335.2574,1715.6462,1807.0908,1585.3192,1561.7832,1271.2323,1423.8371,1096.436,662.9146,1356.1328,2133.4048,572.8862,677.4451,1283.7579,1642.5931,1504.7033,1714.3298,1542.2015,1177.5598,1143.6279,1114.0024,1034.6939,833.699,2064.9338
7464,20190101,17,37809.5616,2179.9628,634.7456,775.9808,1199.0655,1446.8166,1747.4206,1903.5544,1593.917,1480.3543,1404.4204,1443.5763,1105.2903,683.3569,1332.0695,2078.1847,558.0579,669.7878,1313.4694,1790.5694,1605.6441,1755.3662,1517.1992,1191.9124,1203.0289,1147.6806,1106.4026,815.229,2126.497
7888,20190101,18,37802.5839,2125.6793,618.9394,801.6735,1204.0596,1453.5859,1773.3448,1883.7576,1542.9606,1552.0426,1394.9754,1444.4888,1027.3163,654.8212,1321.6884,2196.1049,589.7233,686.0282,1399.9591,1867.1888,1581.7629,1716.691,1473.7488,1179.2089,1209.1289,1160.7747,1047.5953,843.4146,2051.9233
8312,20190101,19,37342.0953,1916.9726,558.1697,785.5482,1194.4668,1470.7565,1698.3014,1845.72,1661.0583,1482.9777,1358.6715,1318.2488,1078.8231,658.2711,1324.0457,2321.8013,623.4762,675.6712,1399.6064,1819.8841,1553.3294,1668.7973,1415.8466,1160.1406,1178.5471,1198.808,1084.9031,799.9847,2089.268
8736,20190101,20,36317.2749,1991.8842,579.9818,760.9143,1247.9479,1440.5083,1677.3831,1745.0024,1563.7816,1331.2038,1216.4031,1306.8092,960.6509,658.7957,1338.6105,2247.1784,603.4377,661.281,1362.1716,1688.1464,1627.3191,1637.1403,1364.6285,1157.0256,1158.2264,1133.5381,1056.9204,805.2245,1995.1599
9160,20190101,21,36655.346,2072.5659,603.4741,771.3919,1267.2462,1363.5576,1700.6846,1780.0534,1583.7909,1324.7242,1179.2896,1329.6719,983.2233,688.8166,1353.8564,2445.5811,656.7152,607.1651,1395.6797,1632.2517,1624.4621,1649.4949,1341.8474,1169.4757,1113.5437,1171.7518,1052.4227,805.0417,1987.5665
9584,20190101,22,36263.6302,2160.3882,629.0461,747.897,1302.3269,1361.6397,1683.769,1835.4074,1629.9447,1359.1233,1182.1713,1214.1902,967.9373,661.0411,1351.3596,2148.9308,577.0551,647.6023,1391.8389,1639.4602,1565.8906,1682.1704,1375.5726,1101.0998,1097.5361,1113.2965,1094.1662,809.1827,1933.5855
10008,20190101,23,33515.2999,1725.3787,502.3829,764.2919,1257.6629,1351.2639,1486.0022,1835.1801,1463.3014,1281.0232,1102.7924,1194.1719,846.6687,640.0699,1361.9308,1900.6161,510.375,550.4415,1213.6565,1399.7051,1403.2431,1565.6081,1215.6657,1049.1044,1008.0278,1059.0963,1029.328,796.0576,2002.2545
10432,20190102,0,33586.4257,1737.1699,505.8164,774.714,1267.8921,1327.7678,1505.2894,1790.3494,1451.156,1257.5861,1098.9185,1187.0084,868.6232,642.4099,1366.7798,1950.7592,523.8402,560.5513,1238.9478,1362.1506,1414.8944,1550.8494,1238.8796,1052.2468,1035.8024,1052.4236,1053.2658,782.6625,1987.6702
10856,20190102,1,33662.9853,1748.1102,509.002,778.9468,1246.8656,1362.4917,1501.5939,1794.6255,1459.7047,1269.3052,1121.9772,1204.3874,865.8142,642.7855,1358.3766,1926.32,517.2776,571.6069,1223.7115,1396.4566,1421.6664,1559.9096,1237.0772,1038.7568,1011.2878,1051.813,1035.613,785.1632,2022.3407
11280,20190102,2,33779.0856,1790.114,521.2319,774.7154,1268.3379,1397.9462,1493.9642,1773.074,1463.3329,1277.4551,1114.3488,1224.8088,861.1019,638.1609,1357.7788,1984.9403,533.0185,571.3335,1209.5214,1376.7692,1436.7615,1544.5158,1221.9754,1036.8512,1034.3137,1051.7798,1049.9373,783.2907,1987.7068
11704,20190102,3,33881.5966,1762.057,513.0626,771.5237,1272.3399,1402.4508,1487.7012,1785.2657,1489.4549,1288.9447,1113.2437,1220.8087,848.3826,632.0687,1335.5003,2023.5196,543.3785,592.0273,1222.614,1408.0446,1443.2352,1555.4687,1217.6557,1037.8435,1035.6565,1060.1757,1049.9716,775.7072,1993.4943
12128,20190102,4,34289.0645,1733.0909,504.6286,794.4035,1271.347,1397.0191,1511.4393,1803.833,1538.4502,1347.9876,1160.0381,1235.4797,891.0287,645.3868,1348.7341,1978.0353,531.1645,590.6015,1283.3695,1463.4117,1484.7084,1548.6709,1217.8223,1078.1585,1048.0087,1083.2286,1029.6929,762.9207,2006.4062
12552,20190102,5,37026.3498,1933.739,563.0514,911.9987,1382.2062,1537.4609,1600.6322,1866.5699,1585.9955,1443.984,1286.7174,1365.5313,1022.1151,736.4865,1445.5458,2098.7106,563.5696,689.3018,1413.8677,1609.5828,1553.5966,1620.8676,1308.4746,1186.6034,1168.2157,1190.8466,1093.1891,761.2482,2086.2415
12976,20190102,6,39801.4759,2102.0081,612.0466,1001.6577,1495.6419,1648.2124,1632.8251,1935.7155,1696.0465,1617.9974,1461.1312,1552.6107,1138.1282,732.9374,1489.053,2325.4772,624.4634,747.7808,1533.7389,1775.6459,1704.9505,1711.4363,1396.9508,1333.9069,1251.9809,1286.4662,1148.9099,784.9567,2058.7993
13400,20190102,7,42615.4906,2384.6732,694.3512,918.0665,1552.2684,1820.5215,1925.2633,2214.7001,1884.0666,1835.8633,1706.2597,1688.5781,1110.2383,791.7024,1428.4099,2338.8766,628.0617,729.3091,1611.4923,2021.8108,1840.0016,1967.6823,1489.4072,1394.6224,1251.7765,1302.025,1157.6637,819.1804,2108.6189
13824,20190102,8,43590.1065,2420.3317,704.7339,835.8443,1565.5316,2062.9626,2176.109,2377.4483,2016.8372,2100.4151,1780.2342,1723.8073,1238.8765,833.9502,1338.5133,2312.3734,620.9448,667.8679,1601.8221,2135.8418,1944.0529,1942.3655,1469.8615,1364.3032,1242.6241,1222.1771,1080.8859,783.299,2026.0902
14248,20190102,9,44452.1736,2621.381,763.2742,862.0838,1693.8308,2128.3999,2169.9877,2442.667,2086.8979,2221.6123,1697.7904,1767.9071,1277.2336,832.8168,1351.4902,2451.3097,658.2533,682.7285,1543.2559,2129.4649,1995.4691,1958.1106,1413.5571,1329.356,1269.9215,1239.0114,1144.351,831.5171,1888.4957
14672,20190102,10,45298.986,2556.6179,744.4169,899.5378,1619.8656,2098.5269,2217.164,2434.4796,2146.0714,2211.4239,1747.9651,1777.6812,1320.0278,769.4846,1356.5431,2626.7095,705.3541,711.2819,1650.5181,2198.4022,2017.6581,2045.7746,1506.257,1359.068,1278.5012,1340.446,1182.2147,855.1835,1921.8114
15096,20190102,11,43791.9854,2634.5591,767.111,945.3989,1615.5439,2033.9841,2157.7512,2245.6397,2020.4418,2089.9962,1689.5669,1671.073,1266.1316,840.7977,1279.9644,2446.4543,656.9498,710.4345,1693.6208,2129.6273,1940.7458,1885.4365,1468.4909,1347.0882,1251.3291,1272.9904,1217.0391,835.0754,1678.7425
15520,20190102,12,44547.9849,2582.1801,751.8598,1016.7393,1681.4667,2069.0633,2280.1577,2416.2662,2101.6324,2157.1312,1670.5052,1645.5797,1341.3905,858.1104,1300.7721,2213.2462,594.3261,759.3383,1800.0344,2208.8046,1972.3654,1928.6315,1462.4525,1439.6967,1230.8694,1294.8384,1189.2269,823.8739,1757.4244
15944,20190102,13,45960.3949,2689.4456,783.0928,984.7519,1669.3878,2109.431,2267.8166,2401.6353,2148.8,2230.025,1786.9076,1780.8603,1386.2962,868.1467,1408.1366,2152.9145,578.125,804.6822,1872.1964,2350.6628,1951.8404,2096.558,1552.0622,1580.2455,1259.0392,1380.6076,1146.9595,922.9287,1796.8405
16368,20190102,14,46231.8132,2613.1909,760.8898,986.5306,1726.0747,2133.7389,2298.1269,2415.1551,2191.6565,2274.7831,1801.2578,1779.5211,1378.5686,836.4943,1324.6852,2532.2369,679.985,797.2608,1763.8613,2327.5111,1987.8151,2029.0822,1584.2372,1430.1204,1265.7217,1394.0978,1189.589,972.065,1757.5562
16792,20190102,15,43864.6054,2226.5273,648.3034,860.0969,1567.8036,2031.8257,2289.5094,2419.818,2169.7128,2232.4682,1725.464,1779.2156,1396.1361,871.3053,1324.3784,2352.1644,631.6299,722.5016,1654.4878,2183.7813,1916.411,1846.0384,1439.6745,1320.0612,1255.9895,1290.8544,1127.9585,920.2196,1660.269
17216,20190102,16,42480.3521,2192.4042,638.3681,780.7328,1553.8641,2037.9433,2216.0224,2389.6866,2104.396,2109.6245,1686.0274,1752.7915,1206.7153,802.9696,1381.5307,2151.2383,577.6749,666.6233,1619.5252,2069.4346,1825.7592,1898.7461,1443.1991,1319.6158,1224.3561,1256.0912,1079.2979,801.9089,1693.8038
17640,20190102,17,42284.0533,2222.1606,647.0324,741.8211,1463.2294,1974.6291,2205.1559,2419.1601,1875.7581,2103.9869,1594.2575,1656.953,1258.9069,747.7227,1515.9491,1995.4811,535.8494,760.9431,1584.8609,2112.8258,1899.7155,1912.5255,1483.3536,1353.5375,1172.2638,1299.9586,1153.7349,800.6273,1791.6548
18064,20190102,18,39465.4834,2233.9934,650.4775,694.8344,1509.5048,1772.5504,1851.2824,1969.7169,1768.9313,1797.6846,1404.3196,1443.1532,1153.7467,712.4348,1521.9278,1994.5349,535.5953,701.4798,1503.6392,1899.1715,1710.4898,1788.0151,1402.332,1228.3335,1185.7179,1198.205,1116.145,897.2006,1820.065
18488,20190102,19,37106.5009,1919.0764,558.7821,689.5677,1326.7965,1597.6255,1758.4903,1933.9404,1531.6714,1619.2978,1313.3892,1359.565,1074.267,688.0848,1357.4185,1938.7984,520.6284,632.8857,1466.0228,1779.3592,1639.2496,1701.5282,1329.1462,1188.4227,1157.0914,1177.5354,1141.6985,854.6731,1851.4876
