,기준일ID,시간대구분,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
404,20200101,0,30313.4846,1496.0447,435.6069,622.5764,1167.7499,1167.2007,1245.679,1621.718,1355.775,1233.4802,1031.2463,1092.8626,921.4243,583.2042,1224.4138,2002.5679,537.7522,597.6907,883.653,1092.2789,1236.7198,1418.4781,1144.8183,1065.5796,891.932,1011.0835,909.3611,685.1389,1637.4485
708,20200101,1,30428.8169,1676.598,488.1793,598.673,1132.6361,1225.6077,1270.0087,1581.7506,1389.1922,1202.035,995.0342,1072.3882,915.2883,552.3645,1225.3643,1951.1211,523.9373,558.8663,915.9552,1137.0498,1203.0154,1419.5863,1145.4344,1069.2561,913.9418,1043.0633,908.5279,653.8013,1660.1407
1107,20200101,2,30552.1291,1642.9688,478.3874,649.5513,1191.2178,1245.5179,1256.9013,1593.9207,1368.744,1212.8709,993.2732,1059.9213,931.7816,575.3349,1213.2371,1884.3812,506.0155,552.921,912.0661,1177.5108,1226.4832,1427.339,1139.9103,1093.9651,913.0512,1040.4161,905.3363,676.9134,1682.1909
1382,20200101,3,30999.3425,1709.7233,497.8243,658.9668,1226.05,1257.5847,1276.5546,1590.4097,1383.9663,1229.2893,996.9999,1115.8308,942.2637,587.8996,1251.1209,1892.4054,508.1698,549.5793,942.6781,1192.3657,1245.4452,1446.0455,1149.2365,1090.6759,932.633,1044.5609,914.3076,671.6662,1695.0896
2039,20200101,4,31561.0983,1653.4522,481.4397,642.0769,1263.8705,1292.3436,1306.5965,1644.3322,1401.8349,1251.1873,1036.4502,1117.8494,969.835,594.2522,1264.5768,1914.7925,514.1819,566.7879,999.5554,1300.6243,1262.6555,1481.1319,1153.6534,1097.2404,946.7126,1078.58,931.008,693.2004,1700.8753
2426,20200101,5,32650.0177,1702.1025,495.6055,683.4753,1277.3952,1336.6205,1326.4319,1644.9333,1498.3014,1302.7201,1035.7334,1167.2658,1051.7339,616.5915,1258.2149,2141.6397,575.0976,586.3024,1044.5099,1344.0554,1268.7295,1490.6967,1233.8475,1144.4307,990.8405,1105.3494,946.7338,696.0354,1684.6255
2938,20200101,6,33046.1537,1667.9096,485.6494,719.3481,1291.8924,1349.2619,1335.5252,1691.4241,1435.3329,1361.0037,1046.4194,1180.9234,1049.5675,589.4523,1271.8019,2131.6515,572.4152,601.3954,1127.595,1411.3958,1351.5959,1555.0273,1231.0517,1173.1009,1017.5807,1110.239,913.485,697.7029,1676.4072
3039,20200101,7,32331.9599,1514.6793,441.0331,677.0879,1258.2307,1361.096,1339.2536,1655.5476,1472.6196,1345.4458,1048.5431,1165.4331,1052.7525,538.4936,1249.9094,2073.7603,556.8694,570.4334,1075.2791,1355.8377,1305.0307,1487.2865,1205.6081,1128.9064,1053.7515,1094.2087,928.7415,713.6961,1662.4244
3509,20200101,8,33406.0993,1600.4598,466.0099,709.7926,1253.8537,1444.4806,1376.0243,1714.7692,1484.6955,1403.2233,1125.8469,1227.922,1031.3605,577.2177,1263.1572,2133.7328,572.9743,582.0641,1103.2421,1426.1104,1346.1519,1547.7616,1253.2612,1150.8852,1084.0317,1113.0883,915.8623,703.1211,1794.998
4214,20200101,9,33731.7427,1648.3234,479.9465,744.3128,1239.8961,1403.5617,1420.6473,1778.8298,1470.4887,1389.5592,1147.3893,1213.5971,1057.5226,581.3268,1312.1824,2290.3841,615.0399,597.293,1070.3811,1449.6396,1385.1945,1525.4861,1296.0405,1136.2321,1034.3258,1104.2716,958.0882,687.052,1694.7298
4300,20200101,10,35142.7503,1850.3082,538.7592,766.6083,1301.9492,1468.4585,1381.9968,1702.878,1514.0692,1404.5142,1148.2101,1316.3105,1103.0199,620.5093,1335.6797,2297.2063,616.872,631.6149,1173.613,1503.394,1483.4515,1648.6964,1330.1311,1220.7822,1095.6874,1166.8532,1000.7613,738.5789,1781.8369
4774,20200101,11,34845.995,1758.9611,512.1612,760.5221,1256.2575,1417.7236,1343.2645,1673.2698,1518.8614,1478.9574,1168.5233,1274.1106,1045.3535,638.8721,1273.4283,2438.8666,654.9121,688.3732,1127.7588,1484.0571,1408.0395,1603.1534,1324.6861,1213.3822,1059.5802,1114.3604,965.7985,728.7991,1913.9619
5416,20200101,12,35190.0918,1759.9189,512.44,754.01,1323.9128,1548.8943,1467.4767,1774.9456,1483.6616,1490.4165,1154.2942,1215.3276,1011.7303,670.0289,1301.3188,2400.8978,644.7162,690.5132,1179.5352,1500.6594,1454.3507,1578.3013,1412.0896,1215.2417,1106.6002,1154.9466,942.9951,727.7165,1713.1518
5833,20200101,13,34984.2077,1730.5476,503.8879,755.8714,1324.6523,1491.0579,1446.1943,1704.2215,1414.03,1471.8398,1146.9352,1245.069,1049.6424,671.799,1280.7688,2275.6704,611.0892,711.3644,1258.7784,1576.1392,1526.0386,1571.2196,1316.3307,1179.6425,1092.3949,1171.5662,963.0482,744.3697,1750.0381
6302,20200101,14,34622.9799,1778.0008,517.705,746.254,1269.3913,1479.3375,1488.4001,1668.848,1466.4604,1433.3081,1152.1896,1300.9086,1063.1758,662.9229,1292.3881,2097.0145,563.1141,637.3356,1294.4337,1542.8864,1477.3303,1457.1655,1224.786,1226.252,1116.8346,1158.6884,1021.8088,753.4897,1732.5502
6531,20200101,15,34303.2246,1931.2765,562.3346,770.0739,1262.9607,1471.591,1474.1929,1628.3236,1502.9875,1516.6662,1135.8372,1200.4505,1078.5158,613.529,1186.0253,2121.6413,569.7272,647.7313,1237.9993,1419.0096,1429.1072,1474.2164,1290.2384,1168.5402,1022.2522,1128.0669,928.3661,728.2113,1803.3548
6881,20200101,16,33948.8221,1806.5699,526.0234,773.6497,1184.9857,1416.5727,1422.756,1606.6043,1430.9822,1506.5894,1091.6895,1230.1735,1020.0413,681.1085,1182.0822,2190.3027,588.1649,711.6922,1120.9364,1482.2757,1357.1422,1422.5438,1313.2519,1186.5564,1043.7731,1151.2818,940.583,706.6914,1853.7992
7438,20200101,17,33957.2301,1758.36,511.986,794.1279,1242.0229,1489.6881,1431.2124,1706.6323,1404.9504,1533.3967,1182.8932,1240.4942,1031.0183,665.6884,1235.6289,1937.3736,520.2459,653.6065,1175.0357,1590.0057,1353.9188,1369.9183,1295.5682,1226.8786,1016.4269,1110.2102,987.6616,714.7825,1777.4985
7662,20200101,18,33531.0279,1775.2617,516.907,758.7825,1238.0325,1469.6728,1454.4128,1663.2839,1337.525,1481.2987,1034.7262,1242.3544,993.0204,658.8752,1306.008,2130.399,572.0789,629.4384,1206.5777,1539.2559,1421.0033,1387.0573,1212.3764,1151.0957,992.7292,1016.1564,895.0203,716.114,1731.5654
8089,20200101,19,33184.9306,1843.1116,536.6636,738.9701,1259.2138,1412.1067,1363.1436,1593.0845,1434.9801,1480.292,1138.388,1259.8818,1014.7552,595.2367,1295.4725,1926.063,517.2082,628.4385,1209.1252,1473.8667,1348.8946,1298.3274,1201.0603,1159.4635,1028.5669,1106.8403,955.0834,663.7685,1702.9224
8723,20200101,20,31545.9067,1703.4356,495.9939,683.3234,1236.524,1315.2457,1281.6206,1572.301,1385.2619,1307.0767,1034.831,1190.4913,970.2665,601.1814,1232.4977,1824.0463,489.8137,561.1546,1129.3958,1345.5945,1207.6014,1333.8616,1206.8526,1131.4762,945.9245,1095.8019,929.1473,676.2609,1658.9254
8947,20200101,21,30948.3209,1730.8095,503.9643,683.6804,1177.0225,1269.1002,1302.1736,1582.5384,1305.2159,1329.2387,1047.6111,1099.0688,958.1244,607.1619,1220.422,1779.0028,477.7176,568.5098,1109.3822,1316.5356,1214.5846,1391.8961,1089.7275,1108.6426,929.0405,985.6107,864.4078,642.8055,1654.3262
9481,20200101,22,31323.3083,1832.9973,533.7184,653.394,1232.9555,1324.7909,1256.0243,1560.6416,1301.2499,1268.8862,1020.283,1136.9207,961.0224,622.6586,1250.4393,1949.4007,523.475,620.7962,1059.1274,1346.992,1258.2543,1412.1853,1075.6621,1084.3089,935.7651,962.1344,871.9391,637.9889,1629.2969
10091,20200101,23,31122.8609,1801.567,524.567,703.3666,1208.4237,1282.2528,1278.8114,1602.2556,1438.5011,1259.0863,967.9633,1094.4596,913.3785,566.2172,1329.0582,1835.6013,492.9162,517.3354,976.2067,1184.8183,1227.7411,1486.4508,1137.029,1038.4063,955.8079,1009.6607,926.3425,648.3655,1716.2722
10531,20200102,0,31409.6661,1835.4413,534.4298,725.0837,1213.515,1292.0279,1271.0278,1624.5023,1424.1813,1270.5794,998.7908,1091.6956,891.3217,548.1887,1345.5259,1930.1479,518.305,561.6272,1007.3755,1219.0322,1249.394,1489.5489,1122.8974,1029.5161,944.8537,995.7592,938.1305,651.6676,1685.1004
10742,20200102,1,31686.6581,1852.0024,539.2522,711.069,1211.4812,1297.1049,1300.7144,1643.6045,1447.6565,1239.3397,1012.2117,1089.1048,896.9508,536.3027,1330.305,1966.6668,528.1119,582.2791,1005.5629,1255.6235,1291.7922,1527.4337,1140.3724,1056.9183,942.4528,991.8917,942.6203,646.7535,1701.0788
11130,20200102,2,31708.9348,1843.2953,536.7173,714.8226,1220.2642,1346.7866,1271.0166,1651.4218,1426.305,1259.4711,1002.1474,1072.9473,905.138,525.9571,1322.0614,2002.0596,537.6157,575.3282,1032.2099,1232.0285,1288.6553,1560.0151,1134.6821,1035.6604,916.1011,993.2607,952.421,650.1789,1700.3674
11554,20200102,3,31942.7426,1884.2627,548.6457,704.98,1212.4245,1362.0706,1284.636,1638.7317,1466.2545,1301.193,996.6684,1082.1204,937.8168,549.8466,1339.3451,1939.5841,520.8393,584.9687,1036.0758,1286.9101,1312.9755,1555.4572,1136.1219,1058.0414,919.1536,1002.3594,939.0999,636.2073,1705.9548
12081,20200102,4,32422.9047,1866.9248,543.5974,701.7044,1228.0115,1403.3721,1309.8752,1694.9578,1464.6419,1306.2303,1050.9661,1125.8152,943.6803,589.527,1332.5465,1975.8756,530.5846,584.6631,1074.2507,1318.4547,1318.8289,1586.6909,1164.5898,1057.4872,954.4232,1009.434,969.5597,627.0221,1689.188
12516,20200102,5,34045.6932,1918.7397,558.6846,733.3511,1284.7018,1433.2574,1358.1473,1788.6052,1514.6492,1425.8068,1115.9624,1314.0616,991.3858,579.4799,1398.2486,2036.1426,546.7681,609.6013,1172.0131,1381.5115,1374.7165,1658.3705,1171.9336,1134.1791,1035.1011,1097.2422,1026.5899,653.0663,1733.3751
12729,20200102,6,35446.8497,1981.634,576.9977,733.4143,1375.5801,1493.9983,1433.8957,1846.7871,1546.5178,1526.7882,1225.9687,1338.6305,1053.8433,624.3254,1361.245,2123.0923,570.1167,623.2548,1270.0152,1510.8698,1376.3369,1689.4475,1212.8379,1244.4014,1142.961,1097.8102,1076.5288,656.8303,1732.7208
13493,20200102,7,37453.5387,1930.4986,562.1082,761.3219,1354.5875,1609.1567,1548.3034,2000.8702,1770.8961,1698.3153,1403.7884,1526.5101,1129.9381,668.0971,1416.5015,2046.5331,549.5578,639.6278,1311.2168,1678.0218,1590.9247,1788.3789,1245.0689,1301.941,1224.5622,1165.8588,1071.8162,682.1686,1776.9688
13696,20200102,8,38459.8162,1986.0069,578.2707,836.2094,1311.6443,1680.091,1763.1743,2084.4792,1895.0667,1726.0966,1518.009,1583.1118,1183.6385,632.3929,1501.3741,2253.3227,605.0877,674.5213,1272.7651,1671.7599,1664.8525,1785.5239,1312.4274,1243.4674,1181.1161,1089.1203,1017.8655,678.1503,1730.2724
14372,20200102,9,39149.3501,2049.8,596.8453,817.1125,1363.6026,1719.0597,1798.5763,2154.0496,1850.945,1766.8571,1497.7321,1580.208,1226.7797,618.64,1523.1894,2410.1775,647.2082,585.9566,1282.188,1737.746,1744.8042,1832.8541,1280.2411,1277.9458,1166.7697,1158.3612,969.6627,734.1141,1757.9236
14604,20200102,10,41281.3453,2350.1986,684.313,904.0449,1491.7844,1845.9439,1932.8018,2235.8952,1864.0503,1885.209,1582.1606,1603.3448,1253.8775,727.2108,1390.935,2286.5221,614.0025,682.1268,1460.1563,1921.2992,1828.0761,1916.4245,1329.1623,1427.6898,1216.8425,1267.3702,1045.343,736.1605,1798.3985
14844,20200102,11,40729.7786,2370.5069,690.2265,859.3174,1537.7118,1792.9856,1938.1301,2276.7645,1989.9496,1883.3798,1542.8904,1517.5453,1224.6338,698.1426,1396.6423,2412.9173,647.9439,603.3151,1443.9273,1882.6166,1702.1887,1772.0259,1431.5271,1336.8969,1128.3258,1213.7471,1025.7144,774.4297,1635.3731
15615,20200102,12,40369.469,2404.9371,700.2522,964.6972,1518.3784,1790.2193,1906.3335,2226.3491,1990.7233,1770.1363,1613.3595,1541.9529,1260.4093,703.639,1351.9428,2419.8652,649.8098,630.0949,1402.9825,1821.1731,1675.3936,1795.3937,1315.5352,1334.7667,1142.2525,1221.7298,980.2806,696.8459,1540.0163
15741,20200102,13,40253.7423,2160.3659,629.0392,919.7023,1543.1175,1883.1323,1865.4919,2267.4709,2008.6613,1830.1301,1615.1916,1573.2942,1282.085,747.2322,1228.6743,2354.4903,632.2543,544.9653,1375.7664,1784.6529,1647.4186,1917.2955,1333.3115,1378.7441,1158.2871,1248.6412,998.3236,683.8119,1642.1896
16169,20200102,14,41663.4748,2691.258,783.6205,952.7622,1543.4798,1842.7767,1976.562,2186.8134,1993.8333,1951.8117,1638.2003,1534.9735,1287.615,710.8306,1242.1404,2669.6431,716.8826,653.7191,1433.3971,1733.5859,1687.0961,1861.5422,1360.0249,1395.7672,1218.8446,1271.8996,1002.1651,699.7119,1622.519
16750,20200102,15,39301.9098,2284.8585,665.2879,777.5745,1413.0012,1764.2994,1955.2366,2210.2842,1986.9179,1859.226,1645.1587,1532.4872,1289.2083,685.8462,1326.3157,1982.8855,532.4669,581.3118,1280.4225,1777.4161,1606.3139,1770.1471,1354.5778,1277.668,1166.3179,1275.2056,964.3703,687.5968,1649.5082
17329,20200102,16,38996.6478,2052.6226,597.6672,761.7974,1455.9873,1754.9124,1888.4898,2220.1671,1911.6377,1872.623,1556.4842,1525.0534,1330.9872,765.3434,1371.533,2081.7244,559.0081,581.1656,1226.5223,1789.1145,1543.2152,1743.297,1332.7543,1284.4571,1135.1773,1292.045,941.2615,647.6847,1773.913
17401,20200102,17,38472.6725,2040.5114,594.141,784.838,1385.0095,1695.2304,1866.6081,2208.7664,1824.9475,1861.7723,1516.2332,1426.6439,1238.9252,710.8267,1359.0053,2100.6561,564.092,567.5059,1207.903,1732.6227,1568.4055,1731.5803,1348.2043,1294.1969,1095.4062,1250.2813,1031.5501,700.535,1766.2751
18193,20200102,18,36134.3034,1998.0848,581.7873,741.7981,1288.8061,1579.7357,1683.6777,1899.5125,1751.5774,1594.9201,1292.1301,1395.328,1082.406,703.3547,1333.7428,1913.9146,513.946,636.4171,1156.8767,1546.9984,1448.5793,1639.4718,1376.6409,1250.2337,1085.8907,1236.4403,991.798,653.8797,1756.3565
18526,20200102,19,34230.7962,1982.7579,577.3249,642.7996,1203.0785,1506.2279,1533.2906,1621.0684,1513.2965,1381.5224,1259.3455,1278.5983,974.8736,653.2703,1328.0595,2030.6011,545.2802,606.0436,1097.5455,1471.6889,1353.3168,1586.9849,1335.2631,1148.7097,1023.7669,1261.6052,923.9145,652.2865,1738.2754
18835,20200102,20,33375.4314,1950.8307,568.0284,605.312,1246.3826,1404.7342,1479.6694,1581.6046,1448.5919,1474.9292,1218.3469,1220.5978,962.9706,627.0486,1340.7573,2112.8457,567.3656,554.5346,1073.9796,1412.8852,1278.7151,1513.2879,1241.9951,1139.4845,985.6904,1148.2534,912.4686,654.6518,1649.4705
19097,20200102,21,32115.803,1818.2663,529.429,607.2169,1239.937,1368.4119,1436.0124,1504.8404,1380.2967,1394.2468,1115.2955,1170.0746,923.2859,593.1323,1270.8336,2069.2888,555.6687,521.2196,1000.9024,1327.6331,1258.9636,1489.7618,1162.2305,1105.5373,976.0058,1115.2082,862.8599,663.5403,1655.7022
19894,20200102,22,32856.3953,2041.048,594.2971,680.6712,1283.7239,1343.7979,1422.5634,1556.165,1430.5943,1361.8731,1118.2333,1142.6939,921.3904,577.0759,1239.4639,2104.7293,565.1857,548.7142,1165.2864,1350.2076,1231.7738,1498.801,1223.5494,1123.7244,1022.5957,1077.1576,871.7965,666.5202,1692.7622
19982,20200102,23,31419.2268,1860.3099,541.6714,665.9693,1261.8446,1259.0818,1324.4946,1558.8,1451.6251,1305.8927,1001.0251,1048.1724,956.4244,622.0951,1239.139,1830.9551,491.6692,526.7758,985.9181,1211.8234,1194.5669,1540.8928,1160.3386,1112.2706,953.7092,1055.1286,953.4871,692.656,1612.4896
20405,20200103,0,31650.5485,1876.6796,546.4376,661.756,1264.014,1276.6927,1331.5105,1587.6755,1443.5411,1340.7373,1027.2304,1068.9097,935.1197,605.4661,1221.0425,1855.9446,498.3794,523.3724,1007.6871,1266.2326,1197.4611,1560.6363,1168.0365,1103.445,924.0027,1047.8907,954.1544,684.0005,1672.4936
21065,20200103,1,32010.3977,1896.4074,552.182,692.1348,1275.1606,1333.233,1347.5476,1673.8248,1469.2297,1324.2491,998.205,1085.7822,925.6632,630.5383,1254.3949,1844.0369,495.1816,549.8281,1015.1174,1247.9384,1223.4003,1602.8663,1147.9605,1114.2837,921.9436,1042.5066,972.003,699.805,1674.9742
21238,20200103,2,32229.9179,1929.8049,561.9065,678.4865,1291.0857,1359.9643,1369.8544,1691.9465,1460.0969,1341.4567,1012.7928,1094.7789,937.6963,626.0393,1269.9435,1798.465,482.9442,567.8412,1019.3661,1289.5537,1253.2153,1583.3202,1161.3714,1100.6301,953.3179,1052.1839,970.9301,702.54,1668.3871
