,기준일ID,시간대구분,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
256,20170101,0,31535.22,1945.4402,566.4588,631.5581,991.9184,1297.1287,1223.1529,1552.9448,1236.7535,1172.5566,980.4305,1031.4326,969.2316,582.7779,1312.8853,2145.5925,576.1589,632.6208,1030.7914,1157.6661,1107.6781,1282.9235,1029.436,998.0414,874.5643,1162.1547,1053.0477,964.394,2025.4819
680,20170101,1,31188.9174,1930.4766,562.1018,625.2151,1030.6281,1307.7381,1183.0956,1491.5827,1236.8635,1161.4078,976.8371,995.0421,948.1975,580.035,1268.2129,2119.6105,569.182,613.6025,996.9965,1120.0051,1102.5198,1271.8997,1027.2574,1038.7528,857.91,1149.7532,1042.7411,919.0115,2062.2422
1104,20170101,2,31240.4974,1921.1864,559.3965,658.7463,1058.7082,1311.9591,1186.26,1537.3732,1211.8326,1181.3342,956.2956,1018.7016,953.482,588.677,1320.9442,2141.8877,575.1642,617.9002,986.0913,1103.1547,1112.4579,1282.9366,1027.8901,1020.0177,853.389,1193.4472,1011.2073,889.9325,1960.1236
1528,20170101,3,31442.4314,1946.4476,566.7525,649.0804,1057.9119,1324.2638,1202.125,1521.2732,1232.8897,1144.3047,990.9081,1045.7843,922.0686,580.2882,1277.1149,2171.597,583.142,632.4597,996.4815,1116.2165,1102.0668,1260.8472,1007.665,1042.9554,896.0038,1163.0355,1056.6428,891.9177,2060.1872
1952,20170101,4,31922.7751,1953.7713,568.8845,623.2087,1063.2557,1342.9146,1209.268,1556.0675,1282.1621,1190.1022,1012.9816,1066.0358,978.3543,582.4929,1311.2767,2204.0205,591.8487,618.1549,1023.66,1187.5457,1120.2232,1281.2738,1064.0655,1045.213,895.8336,1191.7017,1045.3362,874.4984,2038.6212
2376,20170101,5,33633.7304,2122.3666,617.9749,660.4,1102.3333,1385.9335,1293.1982,1626.5706,1385.7359,1231.0689,1040.6009,1173.4042,1055.4665,642.7149,1297.1938,2243.6875,602.5003,683.6075,1106.0702,1335.3663,1191.1654,1361.7373,1104.5921,1120.3262,959.5363,1245.7139,1105.7922,903.161,2035.512
2800,20170101,6,34876.8006,2165.5627,630.5523,685.8867,1090.8849,1463.2645,1381.0019,1657.1714,1342.4397,1307.8322,1114.2292,1133.9565,1011.8684,686.4348,1273.9816,2426.4735,651.5842,693.5819,1190.1541,1432.2406,1247.4796,1414.0056,1195.5637,1143.2956,1034.7465,1280.215,1171.7219,926.0325,2124.6399
3224,20170101,7,35358.9775,2227.9843,648.7271,705.4595,1110.7236,1403.0821,1441.6585,1736.602,1412.8066,1427.3215,1040.042,1215.0764,949.7847,638.7765,1329.4404,2496.3772,670.3553,676.7079,1223.5221,1460.6183,1282.215,1446.2129,1124.1178,1142.2128,1005.0217,1266.4337,1118.5454,888.7883,2270.3612
3648,20170101,8,36038.7688,2394.6462,697.2551,720.5684,1182.1092,1461.3109,1413.8392,1679.3359,1448.5813,1403.6765,1080.9392,1230.5102,1016.7913,700.5101,1278.0938,2329.7896,625.6216,723.8985,1281.9726,1515.8488,1339.9149,1534.001,1136.6143,1181.7433,1016.2929,1300.6579,1166.3171,944.6385,2233.2923
4072,20170101,9,37353.1794,2476.5581,721.1057,763.1041,1323.6375,1523.824,1508.1075,1752.3785,1448.4619,1401.7113,1121.0077,1232.65,1065.3405,649.6978,1297.9126,2461.404,660.9641,769.2591,1347.1347,1625.457,1461.6038,1594.1781,1234.8649,1228.9195,1085.6917,1361.8047,1162.8221,1007.2706,2066.3062
