,기준일ID,시간대구분,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
256,20180101,0,36514.0589,2325.4622,677.1107,848.549,1222.7137,1270.8072,1313.0456,1882.4876,1484.4597,1312.6147,1239.7933,1347.4117,954.0551,819.8225,1523.6568,2189.1521,587.8559,728.2681,1152.0001,1203.3375,1382.647,1554.1626,1425.1925,1171.1719,1069.3901,1399.1609,1189.8119,1003.3559,2236.5634
680,20180101,1,37128.7367,2446.115,712.2414,885.5202,1228.1109,1279.5911,1365.2834,1922.0266,1587.2592,1298.3837,1234.3434,1392.9474,978.3628,846.5779,1564.5055,2170.4478,582.8334,746.5957,1197.3605,1303.6846,1435.9687,1549.1719,1467.4275,1140.3334,1071.7792,1341.6111,1194.0533,1020.5657,2165.6339
1104,20180101,2,37799.9458,2523.6084,734.8057,875.5597,1245.2434,1331.7829,1364.8843,1898.3605,1589.5738,1311.6669,1244.1152,1408.1761,1015.0483,849.7835,1546.9312,2325.8593,624.566,781.8641,1236.2897,1318.9083,1432.4676,1589.8333,1453.8912,1168.1858,1097.3369,1371.486,1189.699,1025.5092,2244.5084
1528,20180101,3,38004.9325,2571.6421,748.7918,825.2907,1265.0869,1347.3302,1379.4963,1921.8485,1581.101,1333.0392,1271.9788,1429.842,1021.35,828.2571,1526.3625,2331.9151,626.1925,842.3953,1269.3015,1325.3796,1442.7693,1568.8051,1427.7171,1189.0712,1102.0612,1405.3094,1195.0441,1007.8784,2219.6748
1952,20180101,4,38744.0673,2569.7942,748.2539,798.6801,1248.5074,1343.5846,1437.4002,1981.436,1645.7219,1385.3768,1311.0538,1481.3074,1069.0209,841.2907,1546.0627,2335.3092,627.104,862.0856,1323.6641,1382.9884,1492.9092,1597.7861,1447.9053,1218.4543,1126.8501,1430.4213,1229.682,999.9002,2261.5145
2376,20180101,5,39906.7889,2786.0357,811.2172,834.5729,1268.9105,1389.378,1455.5052,2030.5107,1736.2807,1425.509,1316.9583,1538.5152,1066.6929,840.0768,1542.7216,2436.8962,654.3828,873.1169,1372.4889,1426.4872,1484.7935,1658.1871,1506.528,1296.8097,1181.5882,1443.8723,1258.3455,1001.708,2268.6983
2800,20180101,6,39514.6875,2683.8761,781.4707,837.7435,1282.7166,1394.1147,1495.7422,1999.6314,1710.3235,1427.8924,1298.0087,1467.1689,1130.8301,803.4361,1522.2601,2375.023,637.7681,881.832,1372.6275,1481.9007,1504.3911,1699.5186,1516.5562,1288.2345,1163.0396,1400.5432,1193.3071,991.9188,2172.8103
3224,20180101,7,38782.232,2510.1549,730.8877,824.676,1282.2139,1369.5125,1477.1207,1983.998,1611.0816,1430.7414,1327.9912,1394.6565,1071.2168,777.6556,1504.5346,2374.4174,637.6056,852.8423,1431.8818,1540.9203,1516.3447,1631.6832,1436.7067,1239.9555,1145.8674,1421.0549,1155.2986,945.2405,2155.9718
3648,20180101,8,38773.8019,2414.9738,703.1741,840.6312,1291.8642,1416.7511,1474.3929,1933.2062,1643.4559,1514.3063,1345.5498,1450.5126,1060.4898,816.976,1445.0605,2294.7367,616.2089,887.8961,1401.841,1542.6204,1462.308,1633.2562,1481.6686,1181.9842,1178.9016,1422.7769,1126.6934,974.1637,2217.4033
4072,20180101,9,38735.5131,2350.5382,684.4118,844.5546,1274.2758,1395.4265,1470.9005,1932.724,1662.093,1439.9164,1266.5908,1436.149,1036.9687,782.1818,1484.2869,2243.3018,602.3968,898.5488,1445.1303,1583.3055,1511.1876,1657.6906,1539.1868,1229.6891,1133.4629,1416.4853,1219.5796,974.195,2220.3357
