,기준일ID,시간대구분,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
9,20210101,0,30763.5906,1767.8079,514.736999999999,697.6684,962.392699999999,1179.3795,1498.4259,1609.0515,1339.81019999999,1313.45129999999,1020.4353,1106.717,882.4238,575.7259,1224.9056,1632.01389999999,438.246699999999,517.8323,891.647699999999,1241.29749999999,1306.7201,1482.12899999999,1160.4774,1096.9916,986.994299999999,1041.4383,893.744699999999,669.2254,1711.9009
593,20210101,1,31048.5391,1885.3204,548.953399999999,706.5193,941.6874,1188.027,1509.7873,1613.98139999999,1357.9918,1359.509,1031.8892,1086.10279999999,899.0057,576.2924,1236.6944,1655.4419,444.5382,522.6671,865.477399999999,1243.4309,1337.5726,1498.31279999999,1163.7248,1121.7922,963.340699999999,1032.9538,901.5443,683.8848,1672.0966
929,20210101,2,31270.9674,1917.3617,558.283,728.1222,961.735699999999,1201.29659999999,1503.0979,1647.1775,1340.45319999999,1353.6745,1021.3457,1073.5687,924.408099999999,581.4348,1246.842,1670.3167,448.5326,516.3442,909.871999999999,1250.4607,1340.9988,1481.44879999999,1180.81279999999,1128.415,981.085,1039.1015,896.282699999999,676.194399999999,1692.3023
1528,20210101,3,31265.3290999999,1856.1745,540.4672,728.8881,969.7816,1191.22849999999,1501.71399999999,1633.20239999999,1343.1929,1367.4727,1023.0987,1070.02029999999,920.5729,593.9932,1258.4021,1699.0559,456.249799999999,521.3269,908.206599999999,1240.01749999999,1337.4375,1489.93409999999,1191.96859999999,1116.50839999999,988.1779,1048.9168,902.872499999999,669.419899999999,1697.027
2025,20210101,4,31860.611,1885.3733,548.969,768.1489,963.4452,1189.0354,1518.8406,1626.6494,1375.3232,1404.2127,1058.9507,1103.75039999999,948.247899999999,601.580199999999,1271.7544,1756.50479999999,471.676199999999,537.8191,905.455299999999,1288.2742,1397.0912,1504.30909999999,1200.47669999999,1145.98219999999,1001.9873,1075.96499999999,913.462899999999,680.784499999999,1716.5434
2376,20210101,5,32528.2537999999,1886.3115,549.2418,787.015899999999,1003.6632,1235.6104,1564.8017,1694.6412,1411.8369,1420.1004,1072.93249999999,1144.8352,986.245499999999,615.2345,1277.3099,1777.9634,477.4388,532.668099999999,942.899099999999,1323.0686,1443.0824,1514.6395,1252.7544,1181.6242,1025.7978,1095.79739999999,917.5383,684.2467,1708.954
2800,20210101,6,32786.6002,1853.1551,539.5878,791.575799999999,999.632399999999,1253.78389999999,1571.1393,1725.3918,1460.7734,1479.78739999999,1145.8821,1151.7655,998.751099999999,594.413599999999,1295.4862,1715.9962,460.7988,551.240199999999,960.7698,1336.4085,1467.8031,1521.4372,1263.5331,1195.7725,1030.9104,1107.8649,909.9578,698.476599999999,1704.50489999999
3224,20210101,7,32808.4764,1857.0651,540.7267,768.775999999999,1008.085,1260.3375,1601.7279,1750.3215,1440.0409,1458.16969999999,1166.0071,1158.5404,994.850699999999,567.928999999999,1266.9572,1695.24849999999,455.227399999999,532.096599999999,986.643299999999,1389.6296,1500.24479999999,1556.161,1225.7837,1215.219,1039.5101,1096.7194,904.1135,683.500099999999,1688.8444
3648,20210101,8,32986.5209,1706.2886,496.8244,733.7838,1013.1162,1290.5944,1635.3851,1789.2315,1505.9553,1442.2198,1093.8305,1174.43599999999,1004.9014,590.9088,1276.1594,1689.8923,453.788799999999,524.1919,1031.7888,1490.0271,1586.07739999999,1593.7596,1269.2361,1154.117,1034.27399999999,1081.30379999999,922.546399999999,677.0887,1724.79469999999
4217,20210101,9,32680.6408999999,1848.3757,538.1961,728.6113,952.5008,1273.2191,1582.6196,1714.4555,1470.3067,1428.5699,1100.6314,1127.9972,1002.1258,607.527199999999,1300.2818,1696.44699999999,455.5495,548.465799999999,1018.1217,1470.5576,1458.1101,1528.9654,1218.2855,1174.2499,1004.8601,1102.0286,908.337599999999,683.237499999999,1738.00489999999
4496,20210101,10,32000.5848,1909.3724,555.9568,730.449799999999,934.6946,1283.7191,1516.9528,1642.671,1364.4081,1376.8308,1143.11539999999,1135.4072,1009.05319999999,604.5919,1323.905,1538.5098,413.1381,510.0115,966.048499999999,1376.0812,1393.07199999999,1502.41709999999,1186.9036,1139.11359999999,1044.3198,1070.72579999999,900.198099999999,679.3329,1749.58359999999
4920,20210101,11,31708.1487,1868.905,544.173499999999,687.6566,927.967899999999,1235.894,1521.5386,1549.15159999999,1403.0639,1404.0191,1088.20509999999,1100.8706,1058.5847,655.6386,1345.7299,1558.4344,418.488299999999,504.625999999999,953.270599999999,1368.9799,1364.0604,1469.06739999999,1198.5471,1132.8695,982.8573,1011.9679,982.3514,717.0185,1654.21049999999
5344,20210101,12,31234.913,1791.6017,521.6653,693.0693,930.317199999999,1219.6004,1486.7977,1592.5925,1461.47589999999,1377.7952,1089.93689999999,1129.9835,1005.3162,618.2073,1322.4981,1556.53569999999,417.978799999999,491.028599999999,999.3635,1330.74,1324.86079999999,1492.0442,1114.5198,1116.8079,905.0705,1010.5954,920.1317,687.3564,1627.02379999999
5768,20210101,13,31779.1150999999,1835.9837,534.5883,722.197599999999,939.497499999999,1288.4719,1495.3439,1648.51129999999,1395.7463,1339.8746,1152.8732,1169.5197,1019.2798,619.9835,1260.96229999999,1647.35629999999,442.3668,539.324899999999,1013.3025,1419.2,1313.6178,1467.2046,1133.44049999999,1094.3664,963.598899999999,1020.5918,924.37,697.2584,1680.2835
6192,20210101,14,31633.4353999999,1902.7746,554.035999999999,693.0688,927.133,1259.0518,1489.0742,1603.00219999999,1424.57179999999,1434.5831,1083.1904,1166.4854,1038.57919999999,589.944499999999,1244.7188,1603.7319,430.652499999999,534.4325,1037.90079999999,1361.4175,1333.1114,1465.30109999999,1148.832,1092.1075,948.7278,976.214399999999,915.0936,682.8921,1692.80649999999
6616,20210101,15,30710.1729,1854.3895,539.947199999999,619.7522,948.2681,1267.9029,1440.72869999999,1536.4833,1391.7373,1325.2325,1016.3334,1175.271,988.387899999999,630.2055,1235.4191,1453.8584,390.4064,509.7199,1031.3297,1287.1962,1258.03659999999,1454.19239999999,1097.0468,1095.38619999999,915.293099999999,971.6574,833.397399999999,675.5706,1767.0215
7040,20210101,16,30678.683,1736.1077,505.5068,616.311199999999,960.501099999999,1234.9689,1461.5862,1450.8922,1333.2203,1398.9054,1033.58809999999,1110.6128,1010.6117,605.2,1249.6342,1613.19239999999,433.1926,487.617,1034.21409999999,1318.79639999999,1285.2808,1422.1059,1114.9155,1082.3511,955.3857,985.469399999999,865.8682,642.072199999999,1730.5742
7464,20210101,17,30826.2344,1707.6574,497.2225,625.704299999999,943.956099999999,1286.9889,1399.9228,1494.55659999999,1376.14079999999,1358.4109,1087.07279999999,1146.7189,1023.3865,613.4509,1239.20329999999,1616.5839,434.1034,500.7676,993.3727,1293.7762,1250.85899999999,1513.96319999999,1078.3948,1142.54929999999,943.568099999999,993.335199999999,878.019599999999,626.6295,1759.9182
7888,20210101,18,30013.9139,1740.2612,506.716,664.2432,893.050399999999,1229.3927,1373.35259999999,1466.51579999999,1276.7924,1312.7125,1028.0417,1109.8928,960.431299999999,575.518199999999,1229.9629,1605.4662,431.1182,499.860099999999,880.428599999999,1297.30559999999,1183.982,1504.7428,1129.3226,1035.3036,924.268,937.7834,865.162699999999,632.947199999999,1719.3407
8177,20210101,19,30474.4959999999,1879.8627,547.364299999999,669.965299999999,951.013299999999,1273.35719999999,1357.29299999999,1462.28209999999,1270.8987,1246.08629999999,1048.95679999999,1101.9593,982.4424,621.106199999999,1268.5844,1602.7279,430.382799999999,518.235999999999,984.4047,1284.2843,1161.93499999999,1477.5495,1060.5006,1026.231,981.479,954.783599999999,933.3564,652.902699999999,1724.5499
8736,20210101,20,29977.7639,1863.9523,542.7317,649.189399999999,886.969,1181.3837,1365.20859999999,1465.39349999999,1197.9902,1271.49749999999,1033.315,1073.5069,955.228799999999,633.8612,1281.6042,1571.7019,422.0516,481.094499999999,888.539899999999,1237.5897,1205.4892,1398.95309999999,1116.5432,1010.4873,936.0629,1021.0429,900.1707,658.6059,1727.59899999999
9160,20210101,21,29959.6342,1801.4053,524.5198,707.269999999999,891.827099999999,1188.9963,1420.2535,1455.6767,1234.2444,1317.83089999999,971.6679,1059.18589999999,911.2146,589.220199999999,1249.6032,1535.1989,412.249199999999,494.1064,938.7915,1231.4544,1236.2184,1397.3016,1141.4936,1030.8089,932.078499999999,1012.9168,895.4932,660.084799999999,1718.5219
9584,20210101,22,29917.6078,1836.1936,534.6493,711.908099999999,875.191,1173.8341,1393.1496,1438.1485,1233.3598,1309.1222,980.806199999999,1050.8513,901.34,588.105,1260.9647,1591.7144,427.424699999999,500.877599999999,902.2237,1209.9493,1269.0449,1426.732,1137.9056,1028.50579999999,909.5338,987.689799999999,878.825299999999,650.316,1709.2396
