역이름,역지역,위도,경도,호선
갈매,수도권,37.63406534,127.1147426,경춘선
별내,수도권,37.64205356,127.1269691,경춘선
퇴계원,수도권,37.64825136,127.1435235,경춘선
사릉,수도권,37.65110718,127.1769126,경춘선
금곡,수도권,37.63734436,127.2075155,경춘선
평내호평,수도권,37.65320301,127.2444344,경춘선
천마산,수도권,37.6592205,127.2850491,경춘선
마석,수도권,37.65277422,127.3116774,경춘선
대성리,수도권,37.68398291,127.3796926,경춘선
청평,수도권,37.73550205,127.4266046,경춘선
상천,수도권,37.77017487,127.4544975,경춘선
가평,수도권,37.81450566,127.5107348,경춘선
굴봉산,수도권,37.83205898,127.5577698,경춘선
백양리,수도권,37.83078819,127.5893159,경춘선
강촌,수도권,37.80570741,127.6341287,경춘선
디지털미디어시티,수도권,37.57600202,126.9012631,경의선
김유정,수도권,37.81843831,127.7143057,경춘선
남춘천,수도권,37.86403969,127.7238142,경춘선
춘천,수도권,37.88449835,127.7166939,경춘선
봉명,수도권,36.80141984,127.1360336,1호선
쌍용,수도권,36.79372219,127.1213648,1호선
아산,수도권,36.79460339,127.1043579,1호선
배방,수도권,36.7776965,127.0527836,1호선
온양온천,수도권,36.78053767,127.0031815,1호선
신창,수도권,36.76962428,126.9513886,1호선
선바위,수도권,37.45174078,127.0022151,4호선
경마공원,수도권,37.44395578,127.00782,4호선
대공원,수도권,37.43604493,127.0067344,4호선
과천,수도권,37.4328735,126.9966103,4호선
정부과천청사,수도권,37.42649391,126.9898545,4호선
인덕원,수도권,37.40147975,126.9766663,4호선
평촌,수도권,37.3942323,126.9637945,4호선
범계,수도권,37.38977654,126.9507652,4호선
금정,수도권,37.37245559,126.9434607,4호선
삼동,수도권,37.40867752,127.203359,경강선
경기광주,수도권,37.39894023,127.2532736,경강선
초월,수도권,37.37336832,127.2999052,경강선
곤지암,수도권,37.35053595,127.3462468,경강선
신둔도예촌,수도권,37.31560508,127.4052227,경강선
이천,수도권,37.26422223,127.4421498,경강선
여주,수도권,37.2828597,127.62852,경강선
구로,수도권,37.50332802,126.8822911,1호선
가산디지털단지,수도권,37.48038874,126.8826437,1호선
금천구청,수도권,37.45617995,126.8935996,1호선
석수,수도권,37.43508572,126.9023072,1호선
관악,수도권,37.41955714,126.9084955,1호선
안양,수도권,37.40185319,126.9226348,1호선
명학,수도권,37.38445321,126.9355928,1호선
금정,수도권,37.37245559,126.9434607,1호선
의왕,수도권,37.32034211,126.9479675,1호선
성균관대,수도권,37.300329,126.971013,1호선
화서,수도권,37.28398727,126.989603,1호선
수원,수도권,37.2657867,127.0000902,1호선
독산,수도권,37.46596115,126.8894711,1호선
세류,수도권,37.24387252,127.0137952,1호선
군포,수도권,37.35418507,126.9485085,1호선
병점,수도권,37.20674549,127.0331869,1호선
세마,수도권,37.18711726,127.0434268,1호선
오산대,수도권,37.16933963,127.0630757,1호선
송탄,수도권,37.07570545,127.0542715,1호선
서정리,수도권,37.05654929,127.0528637,1호선
평택,수도권,36.99096795,127.0852821,1호선
성환,수도권,36.91612238,127.1268778,1호선
직산,수도권,36.87092205,127.1438058,1호선
두정,수도권,36.83359183,127.1490719,1호선
천안,수도권,36.80899436,127.1468277,1호선
당정,수도권,37.343679,126.9483577,1호선
서동탄,수도권,37.19572794,127.0518568,1호선
광명,수도권,37.41643692,126.8847995,1호선
산본,수도권,37.3580157,126.9330418,4호선
대야미,수도권,37.32796512,126.9168885,4호선
반월,수도권,37.31236734,126.9038199,4호선
상록수,수도권,37.30285234,126.8665876,4호선
한대앞,수도권,37.30975702,126.8536706,4호선
중앙,수도권,37.31600848,126.8384964,4호선
고잔,수도권,37.31679727,126.8230166,4호선
초지,수도권,37.32066297,126.8059491,4호선
안산,수도권,37.32701304,126.7888729,4호선
신길온천,수도권,37.33762224,126.7670415,4호선
정왕,수도권,37.35180851,126.7429119,4호선
오이도,수도권,37.36169184,126.7383855,4호선
수리산,수도권,37.35055076,126.9256219,4호선
오이도,수도권,37.36169184,126.7383855,수인선
개봉,수도권,37.49463448,126.8586934,1호선
오류동,수도권,37.49438279,126.8448075,1호선
역곡,수도권,37.48530715,126.8120593,1호선
부천,수도권,37.48397806,126.7830727,1호선
송내,수도권,37.4876132,126.7530306,1호선
부평,수도권,37.48944182,126.7243266,1호선
백운,수도권,37.48332803,126.7072764,1호선
주안,수도권,37.46503882,126.6799476,1호선
제물포,수도권,37.46672224,126.6569483,1호선
동인천,수도권,37.47540683,126.6326025,1호선
인천,수도권,37.47614957,126.6168166,1호선
구일,수도권,37.4962509,126.8696821,1호선
세종대왕릉,수도권,37.2936228,127.5706415,경강선
오산,수도권,37.14470276,127.0666121,1호선
진위,수도권,37.11006822,127.0623515,1호선
동암,수도권,37.47068493,126.7028717,1호선
소사,수도권,37.48279309,126.7956262,1호선
부개,수도권,37.48846983,126.7407256,1호선
간석,수도권,37.46469636,126.6935134,1호선
도원,수도권,37.46876979,126.6425148,1호선
온수,수도권,37.49195669,126.8238253,1호선
중동,수도권,37.48666358,126.7645216,1호선
도화,수도권,37.46610669,126.6685715,1호선
서울숲,수도권,37.54363499,127.0447417,분당선
압구정로데오,수도권,37.52750857,127.0405915,분당선
강남구청,수도권,37.51720086,127.0412872,분당선
선정릉,수도권,37.51092904,127.0436137,분당선
가천대,수도권,37.4485554,127.1266866,분당선
태평,수도권,37.43977839,127.127734,분당선
모란,수도권,37.43402749,127.1299614,분당선
야탑,수도권,37.41135924,127.1287249,분당선
서현,수도권,37.38500102,127.1234179,분당선
수내,수도권,37.37846877,127.1142843,분당선
정자,수도권,37.3661666,127.1080794,분당선
미금,수도권,37.3500734,127.1090044,분당선
이매,수도권,37.39470993,127.1272961,분당선
구성,수도권,37.29896985,127.1056823,분당선
신갈,수도권,37.28613395,127.1112802,분당선
상갈,수도권,37.26180824,127.1087192,분당선
청명,수도권,37.25952516,127.0789555,분당선
영통,수도권,37.2514927,127.0713274,분당선
망포,수도권,37.24582396,127.0568503,분당선
매탄권선,수도권,37.2524983,127.0408041,분당선
수원시청,수도권,37.2619082,127.0308437,분당선
매교,수도권,37.26551532,127.0158961,분당선
달월,수도권,37.38001592,126.74539,수인선
월곶,수도권,37.3918135,126.7427076,수인선
소래포구,수도권,37.4009294,126.7334831,수인선
인천논현,수도권,37.40065197,126.7225515,수인선
호구포,수도권,37.40162775,126.7086787,수인선
남동인더스파크,수도권,37.40773874,126.695214,수인선
원인재,수도권,37.41236884,126.6878756,수인선
청량리,수도권,37.58071852,127.0484998,분당선
보정,수도권,37.31277133,127.1083188,분당선
연수,수도권,37.41791267,126.6787475,수인선
송도,수도권,37.42995442,126.6546757,수인선
인하대,수도권,37.44832057,126.6497545,수인선
숭의,수도권,37.46079235,126.6383933,수인선
인천,수도권,37.47614957,126.6168166,수인선
방학,수도권,37.66743116,127.0443172,1호선
도봉,수도권,37.67919749,127.0455258,1호선
도봉산,수도권,37.68955853,127.0460537,1호선
망월사,수도권,37.71020835,127.0474047,1호선
회룡,수도권,37.72379508,127.0472772,1호선
의정부,수도권,37.73835529,127.0459477,1호선
가능,수도권,37.74839272,127.0442746,1호선
녹양,수도권,37.75938526,127.0422612,1호선
양주,수도권,37.77412414,127.0447213,1호선
덕계,수도권,37.81875259,127.0566735,1호선
덕정,수도권,37.84318405,127.0615548,1호선
지행,수도권,37.89187431,127.0556609,1호선
동두천중앙,수도권,37.90176632,127.0564187,1호선
보산,수도권,37.91414493,127.057156,1호선
동두천,수도권,37.92760607,127.0549143,1호선
원당,수도권,37.65309939,126.8429139,3호선
대곡,수도권,37.63168113,126.810921,3호선
백석,수도권,37.64295874,126.7881179,3호선
마두,수도권,37.65223751,126.7775981,3호선
정발산,수도권,37.65947341,126.773406,3호선
주엽,수도권,37.67013504,126.7612454,3호선
대화,수도권,37.67614293,126.7474874,3호선
방화,수도권,37.57758875,126.8128012,5호선
개화산,수도권,37.57253355,126.8068143,5호선
김포공항,수도권,37.56194774,126.8019069,5호선
송정,수도권,37.561154,126.8124123,5호선
마곡,수도권,37.56021781,126.8246834,5호선
발산,수도권,37.55866872,126.8377251,5호선
우장산,수도권,37.54880987,126.8363206,5호선
화곡,수도권,37.54164355,126.8404324,5호선
원흥,수도권,37.65068496,126.8730162,3호선
까치산,수도권,37.53222704,126.8464262,5호선
신정,수도권,37.52501318,126.8560794,5호선
목동,수도권,37.52612248,126.8646072,5호선
오목교,수도권,37.52453046,126.8752892,5호선
양평,수도권,37.52556883,126.8864193,5호선
영등포구청,수도권,37.52583052,126.8966683,5호선
영등포시장,수도권,37.52270218,126.9051796,5호선
신길,수도권,37.51678342,126.9183536,5호선
여의도,수도권,37.52116647,126.9246384,5호선
여의나루,수도권,37.52713613,126.9329815,5호선
마포,수도권,37.53954051,126.9458467,5호선
공덕,수도권,37.54453447,126.9514331,5호선
애오개,수도권,37.55340233,126.9566558,5호선
충정로,수도권,37.55974797,126.9644842,5호선
서대문,수도권,37.56574923,126.9666319,5호선
광화문,수도권,37.5716441,126.9764096,5호선
종로3가,수도권,37.57042084,126.9921442,5호선
을지로4가,수도권,37.5666369,126.997623,5호선
동대문역사문화공원,수도권,37.56564549,127.0089872,5호선
청구,수도권,37.56020299,127.0139212,5호선
신금호,수도권,37.55447169,127.0204841,5호선
행당,수도권,37.55735297,127.0294937,5호선
왕십리,수도권,37.56126116,127.0370785,5호선
마장,수도권,37.56612455,127.0429667,5호선
답십리,수도권,37.56696761,127.0525432,5호선
장한평,수도권,37.56159218,127.0636992,5호선
군자,수도권,37.5571497,127.0794948,5호선
아차산,수도권,37.55224106,127.0895615,5호선
광나루,수도권,37.54529197,127.1035169,5호선
천호,수도권,37.53849681,127.1239194,5호선
강동,수도권,37.53587473,127.1323782,5호선
길동,수도권,37.53781209,127.1400077,5호선
삼송,수도권,37.65306773,126.8956537,3호선
굽은다리,수도권,37.54550319,127.1428737,5호선
명일,수도권,37.5513943,127.1440392,5호선
고덕,수도권,37.55503956,127.1541639,5호선
상일동,수도권,37.55666348,127.1658921,5호선
둔촌동,수도권,37.52765324,127.1362101,5호선
올림픽공원,수도권,37.51632457,127.1309637,5호선
방이,수도권,37.50874343,127.126087,5호선
오금,수도권,37.50212807,127.1279306,5호선
개롱,수도권,37.49795748,127.1350705,5호선
마천,수도권,37.49503458,127.1528418,5호선
응암,수도권,37.59848384,126.9155241,6호선
역촌,수도권,37.60621934,126.9228313,6호선
불광,수도권,37.61004419,126.9303022,6호선
연신내,수도권,37.61919243,126.9210962,6호선
구산,수도권,37.61124308,126.9172538,6호선
새절,수도권,37.59086003,126.9135625,6호선
증산,수도권,37.58373913,126.9094724,6호선
디지털미디어시티,수도권,37.57600202,126.9012631,6호선
월드컵경기장,수도권,37.56962115,126.8990982,6호선
마포구청,수도권,37.56347996,126.9034075,6호선
망원,수도권,37.55607905,126.9100943,6호선
합정,수도권,37.54990144,126.9144473,6호선
상수,수도권,37.54776257,126.9224163,6호선
광흥창,수도권,37.54748017,126.9320127,6호선
대흥,수도권,37.54762988,126.9424687,6호선
공덕,수도권,37.54453447,126.9514331,6호선
효창공원앞,수도권,37.53929433,126.9613936,6호선
삼각지,수도권,37.53443213,126.9729139,6호선
녹사평,수도권,37.53470477,126.9865361,6호선
이태원,수도권,37.53450718,126.9943203,6호선
한강진,수도권,37.53978717,127.0017425,6호선
버티고개,수도권,37.54782391,127.0067218,6호선
약수,수도권,37.55449098,127.0108871,6호선
거여,수도권,37.49331604,127.1437693,5호선
독바위,수도권,37.61840694,126.9330355,6호선
신당,수도권,37.56566224,127.0194685,6호선
동묘앞,수도권,37.57321306,127.0163461,6호선
창신,수도권,37.57941204,127.0152833,6호선
보문,수도권,37.58553809,127.0199945,6호선
안암,수도권,37.586293,127.0292334,6호선
고려대,수도권,37.59043561,127.0363004,6호선
월곡,수도권,37.60180442,127.0414471,6호선
상월곡,수도권,37.60654081,127.0488111,6호선
돌곶이,수도권,37.61053781,127.0564245,6호선
석계,수도권,37.61500193,127.0656702,6호선
태릉입구,수도권,37.61845592,127.0753917,6호선
봉화산,수도권,37.61734543,127.0913612,6호선
장암,수도권,37.69995296,127.0528183,7호선
도봉산,수도권,37.68955853,127.0460537,7호선
수락산,수도권,37.67787787,127.0553419,7호선
마들,수도권,37.66519095,127.0576899,7호선
노원,수도권,37.65634036,127.0634401,7호선
중계,수도권,37.64507771,127.0641103,7호선
하계,수도권,37.63646213,127.0679777,7호선
태릉입구,수도권,37.61845592,127.0753917,7호선
먹골,수도권,37.61061578,127.0777622,7호선
중화,수도권,37.60254189,127.0792939,7호선
상봉,수도권,37.59669897,127.0857421,7호선
면목,수도권,37.58869687,127.0874993,7호선
사가정,수도권,37.58092958,127.0884864,7호선
용마산,수도권,37.57370489,127.0867572,7호선
중곡,수도권,37.56586804,127.084258,7호선
군자,수도권,37.5571497,127.0794948,7호선
어린이대공원,수도권,37.54794467,127.0746417,7호선
건대입구,수도권,37.54039761,127.0692029,7호선
뚝섬유원지,수도권,37.53155118,127.0667736,7호선
청구,수도권,37.56020299,127.0139212,6호선
화랑대,수도권,37.61983796,127.0835259,6호선
청담,수도권,37.51944838,127.0537089,7호선
강남구청,수도권,37.51720086,127.0412872,7호선
학동,수도권,37.5143566,127.0318974,7호선
논현,수도권,37.51118739,127.0216486,7호선
반포,수도권,37.50814341,127.0115816,7호선
고속터미널,수도권,37.50453984,127.0051346,7호선
내방,수도권,37.48765492,126.9935776,7호선
이수,수도권,37.48678878,126.9822028,7호선
남성,수도권,37.4847863,126.9708966,7호선
숭실대입구,수도권,37.49631367,126.9536129,7호선
상도,수도권,37.5028526,126.9479089,7호선
장승배기,수도권,37.50488464,126.9390633,7호선
신대방삼거리,수도권,37.49974281,126.928211,7호선
보라매,수도권,37.49991814,126.9205886,7호선
신풍,수도권,37.50010856,126.9097317,7호선
대림,수도권,37.49330273,126.8949265,7호선
남구로,수도권,37.48698929,126.8879703,7호선
가산디지털단지,수도권,37.48038874,126.8826437,7호선
철산,수도권,37.47619283,126.868202,7호선
광명사거리,수도권,37.47929468,126.8548557,7호선
천왕,수도권,37.48684204,126.8385816,7호선
온수,수도권,37.49195669,126.8238253,7호선
까치울,수도권,37.50620931,126.8113284,7호선
부천종합운동장,수도권,37.50541107,126.7972158,7호선
신중동,수도권,37.50294171,126.7768882,7호선
부천시청,수도권,37.50462869,126.764058,7호선
삼산체육관,수도권,37.50649141,126.7414097,7호선
굴포천,수도권,37.50702756,126.731342,7호선
부평구청,수도권,37.50741907,126.721433,7호선
암사,수도권,37.55013386,127.1275373,8호선
공릉,수도권,37.62553917,127.07302,7호선
춘의,수도권,37.50368117,126.7869967,7호선
천호,수도권,37.53849681,127.1239194,8호선
강동구청,수도권,37.53019318,127.1204437,8호선
몽촌토성,수도권,37.5178029,127.112845,8호선
잠실,수도권,37.51330927,127.1002152,8호선
석촌,수도권,37.50541053,127.1069905,8호선
송파,수도권,37.49971136,127.1121845,8호선
가락시장,수도권,37.49309205,127.1182582,8호선
문정,수도권,37.48602386,127.1224758,8호선
장지,수도권,37.4786317,127.126172,8호선
복정,수도권,37.47073829,127.1267014,8호선
산성,수도권,37.45679931,127.1500739,8호선
남한산성입구,수도권,37.45166871,127.1598735,8호선
단대오거리,수도권,37.4450234,127.156763,8호선
신흥,수도권,37.44090864,127.1475336,8호선
수진,수도권,37.43736718,127.1405209,8호선
모란,수도권,37.43402749,127.1299614,8호선
계양,수도권,37.57176634,126.7362714,인천선
귤현,수도권,37.56628441,126.7426746,인천선
박촌,수도권,37.55365762,126.7450494,인천선
임학,수도권,37.54499402,126.7386289,인천선
계산,수도권,37.54329353,126.7277267,인천선
경인교대입구,수도권,37.53810989,126.7226087,인천선
작전,수도권,37.53025304,126.7225473,인천선
갈산,수도권,37.51711408,126.7215327,인천선
부평구청,수도권,37.50741907,126.721433,인천선
부평시장,수도권,37.49835698,126.7222809,인천선
부평,수도권,37.48944182,126.7243266,인천선
동수,수도권,37.48549993,126.7185973,인천선
부평삼거리,수도권,37.47782129,126.7102825,인천선
인천시청,수도권,37.45772679,126.7022222,인천선
예술회관,수도권,37.44851514,126.7009026,인천선
인천터미널,수도권,37.44191665,126.6996858,인천선
상동,수도권,37.50577775,126.7531744,7호선
문학경기장,수도권,37.43463332,126.6984495,인천선
선학,수도권,37.42693984,126.6989096,인천선
신연수,수도권,37.41809734,126.6940197,인천선
원인재,수도권,37.41236884,126.6878756,인천선
동춘,수도권,37.40456527,126.6808375,인천선
동막,수도권,37.39793159,126.6734345,인천선
캠퍼스타운,수도권,37.38843935,126.6622061,인천선
테크노파크,수도권,37.38227737,126.6562946,인천선
지식정보단지,수도권,37.3774892,126.6458615,인천선
인천대입구,수도권,37.38619191,126.6395197,인천선
센트럴파크,수도권,37.39284549,126.6349707,인천선
국제업무지구,수도권,37.39964339,126.6305332,인천선
검단사거리,수도권,37.60165397,126.6564203,인천2호선
마전,수도권,37.59763047,126.6672189,인천2호선
독정,수도권,37.58484283,126.6759936,인천2호선
검암,수도권,37.56924921,126.6736388,인천2호선
검바위,수도권,37.56111491,126.6775225,인천2호선
서구청,수도권,37.54403015,126.6768266,인천2호선
가정,수도권,37.52481684,126.6753484,인천2호선
석남,수도권,37.50746614,126.6762831,인천2호선
서부여성회관,수도권,37.50032905,126.6758616,인천2호선
인천가좌,수도권,37.48982162,126.6752285,인천2호선
가재울,수도권,37.48413238,126.6837557,인천2호선
주안국가산단,수도권,37.47390817,126.6812212,인천2호선
주안,수도권,37.46503882,126.6799476,인천2호선
시민공원,수도권,37.45837437,126.6810611,인천2호선
석바위시장,수도권,37.45766545,126.692344,인천2호선
인천시청,수도권,37.45772679,126.7022222,인천2호선
석천사거리,수도권,37.45677405,126.7104089,인천2호선
모래내시장,수도권,37.45585919,126.7196125,인천2호선
만수,수도권,37.45496829,126.7317318,인천2호선
인천대공원,수도권,37.44847299,126.7528429,인천2호선
운연,수도권,37.43963899,126.7596067,인천2호선
개화,수도권,37.57833729,126.7968823,9호선
김포공항,수도권,37.56194774,126.8019069,9호선
공항시장,수도권,37.56367389,126.810595,9호선
신방화,수도권,37.56748653,126.8172183,9호선
마곡나루,수도권,37.56670899,126.8274074,9호선
양천향교,수도권,37.56806284,126.8419608,9호선
증미,수도권,37.55812134,126.8606334,9호선
등촌,수도권,37.55072086,126.8655586,9호선
선유도,수도권,37.53815324,126.8933248,9호선
왕길,수도권,37.59512545,126.6424774,인천2호선
완정,수도권,37.5928354,126.673015,인천2호선
염창,수도권,37.54696492,126.8748671,9호선
신목동,수도권,37.54427035,126.8830868,9호선
당산,수도권,37.5347735,126.9026073,9호선
국회의사당,수도권,37.52813568,126.9178209,9호선
여의도,수도권,37.52116647,126.9246384,9호선
샛강,수도권,37.51736656,126.9283751,9호선
노량진,수도권,37.51357125,126.9408887,9호선
노들,수도권,37.5126577,126.9530825,9호선
